Democrats 08 (Votes),Democrats 12 (Votes),Republicans 08 (Votes),Republicans 12 (Votes),votes16_trumpd,votes16_clintonh,Fips,Democrats 08 pct,Democrats 12 pct,Democrats 16 pct,Republicans 08 pct,Republicans 12 pct,Republicans 16 pct
2598.0,2630.0,3860.0,3887.0,3967.0,2364.0,5043,40.22917311861257,40.3559920208685,37.340072658347815,59.77082688138743,59.6440079791315,62.659927341652185
2144.0,2099.0,3972.0,4263.0,4917.0,1587.0,5087,35.05559189012426,32.99276956931782,24.400369003690038,64.94440810987574,67.00723043068217,75.59963099630997
1935.0,1845.0,3916.0,4136.0,4353.0,1544.0,13159,33.071269868398566,30.847684333723457,26.18280481600814,66.92873013160144,69.15231566627654,73.81719518399186
13191.0,12792.0,8181.0,9411.0,8153.0,12652.0,8037,61.72094329028636,57.61383596811242,60.81230473443884,38.27905670971364,42.38616403188758,39.18769526556116
2595.0,2442.0,5543.0,5214.0,5021.0,1836.0,13091,31.887441631850578,31.896551724137932,26.775557824121336,68.11255836814942,68.10344827586206,73.22444217587866
24162.0,25136.0,14008.0,12777.0,11295.0,28467.0,6025,63.30102174482578,66.29915859995252,71.59348121321865,36.69897825517422,33.70084140004748,28.406518786781348
29591.0,25431.0,15333.0,13815.0,12691.0,29514.0,13059,65.8690232392485,64.798960403608,69.93010306835683,34.130976760751494,35.201039596391986,30.06989693164317
1117.0,987.0,3286.0,3490.0,3755.0,701.0,8125,25.369066545537134,22.046012955103865,15.731597845601437,74.63093345446286,77.95398704489614,84.26840215439856
1487.0,1519.0,3043.0,3230.0,3508.0,1173.0,8099,32.82560706401766,31.985681196041273,25.058748130741293,67.17439293598234,68.01431880395873,74.9412518692587
14334.0,12688.0,28661.0,28280.0,29983.0,12422.0,13045,33.33876032096755,30.970513571568052,29.293715363754274,66.66123967903245,69.02948642843195,70.70628463624573
322220.0,301723.0,52292.0,47076.0,34493.0,312443.0,6075,86.0372965352245,86.50340167259654,90.0578204625637,13.962703464775494,13.496598327403461,9.9421795374363
2315.0,2087.0,2705.0,2635.0,2569.0,1844.0,13317,46.11553784860558,44.19737399407031,41.78563335599365,53.88446215139442,55.80262600592969,58.21436664400635
68979.0,58922.0,57177.0,60608.0,70295.0,50336.0,17119,54.677542090744794,49.29473772274743,41.72725087249546,45.322457909255206,50.70526227725257,58.27274912750454
28611.0,28768.0,18651.0,21280.0,23384.0,22774.0,19061,60.537006474546146,57.48081841432225,49.3392261363144,39.462993525453854,42.51918158567775,50.6607738636856
3843.0,3020.0,3947.0,4095.0,4884.0,2066.0,17005,49.33247753530167,42.44553759662684,29.72661870503597,50.66752246469833,57.55446240337316,70.27338129496403
5519.0,5357.0,4340.0,4424.0,4936.0,4272.0,19157,55.97930824627244,54.769450976382785,46.39443961772372,44.02069175372756,45.230549023617215,53.60556038227628
26548.0,26192.0,18995.0,19668.0,19111.0,25085.0,19169,58.29216344992644,57.112952464020935,56.75853018372703,41.70783655007356,42.887047535979065,43.24146981627297
4349.0,4460.0,4822.0,5035.0,5764.0,2897.0,19087,47.42121906008069,46.97209057398631,33.44879344186584,52.57878093991931,53.02790942601369,66.55120655813417
1900.0,1559.0,1378.0,1502.0,1762.0,1143.0,17155,57.962172056131784,50.93106827834041,39.345955249569705,42.037827943868216,49.06893172165959,60.654044750430295
1575.0,1356.0,6547.0,6668.0,7273.0,1239.0,13231,19.391775424772224,16.899302093718845,14.555921052631579,80.60822457522778,83.10069790628116,85.44407894736842
2212.0,1852.0,3866.0,3904.0,4507.0,1260.0,21033,36.3935505100362,32.17512161223072,21.848448066585746,63.6064494899638,67.82487838776929,78.15155193341425
66042.0,62080.0,59884.0,60795.0,56890.0,69776.0,21067,52.44508679700777,50.522889114954225,55.08660571897747,47.55491320299223,49.477110885045775,44.91339428102253
13567.0,10625.0,17067.0,18083.0,20637.0,9841.0,18005,44.28739309264216,37.01058938275045,32.28886409869414,55.71260690735784,62.98941061724955,67.71113590130587
879.0,750.0,1699.0,1835.0,2094.0,432.0,21039,34.09619860356866,29.013539651837526,17.102137767220903,65.90380139643135,70.98646034816248,82.8978622327791
13255.0,11357.0,16791.0,17059.0,17387.0,10064.0,20103,44.11568927644279,39.96692004504504,36.661688098794215,55.88431072355721,60.03307995495496,63.338311901205785
1900.0,1727.0,1833.0,2069.0,2523.0,1074.0,17169,50.897401553710154,45.49525816649104,29.858215179316097,49.102598446289846,54.50474183350896,70.14178482068391
3404.0,2909.0,7018.0,7424.0,8665.0,1967.0,18047,32.661677221262714,28.1525210490661,18.500752445447706,67.3383227787373,71.8474789509339,81.4992475545523
13449.0,11491.0,16431.0,16655.0,19197.0,9109.0,26015,45.01004016064257,40.826405173026366,32.18045644033067,54.98995983935743,59.173594826973634,67.81954355966933
11501.0,11389.0,6549.0,6586.0,8160.0,8460.0,27017,63.717451523545705,63.360222531293466,50.90252707581227,36.282548476454295,36.639777468706534,49.09747292418773
1877.0,1753.0,2291.0,2359.0,2925.0,1100.0,27029,45.03358925143954,42.63132295719844,27.32919254658385,54.96641074856046,57.36867704280156,72.67080745341615
7084.0,6750.0,6862.0,6845.0,8191.0,4580.0,27115,50.795927147569195,49.65060684075028,35.86250097878005,49.204072852430805,50.34939315924972,64.13749902121995
2562.0,2494.0,2526.0,2517.0,2768.0,1814.0,27165,50.35377358490566,49.77050488924366,39.58969882147534,49.64622641509434,50.22949511075634,60.41030117852466
1184.0,939.0,2864.0,2895.0,3184.0,637.0,29057,29.24901185770751,24.491392801251955,16.671028526563727,70.75098814229248,75.50860719874804,83.32897147343627
